nohup: ignoring input
[W 23:05:23.676 NotebookApp] WARNING: The notebook server is listening on all IP addresses and not using encryption. This is not recommended.
[I 23:05:23.689 NotebookApp] Serving notebooks from local directory: /zqh/pyproject
[I 23:05:23.690 NotebookApp] The Jupyter Notebook is running at:
[I 23:05:23.690 NotebookApp] http://iZwz9ix2sgagsdqpj4ufebZ:8889/
[I 23:05:23.690 NotebookApp] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[I 23:11:45.229 NotebookApp] Kernel started: 23c24990-b185-4612-9638-f34da49e67ac
[W 23:11:45.343 NotebookApp] Forbidden
[W 23:11:45.343 NotebookApp] 403 GET /api/contents/stock_pro?type=directory&_=1581347450307 (183.227.137.158) 1.24ms referer=http://120.24.63.215:8889/tree/stock_pro
[W 23:11:45.345 NotebookApp] Forbidden
[W 23:11:45.346 NotebookApp] 403 GET /api/contents/stock_pro?type=directory&_=1581347450308 (183.227.137.158) 0.85ms referer=http://120.24.63.215:8889/tree/stock_pro
[W 23:11:45.370 NotebookApp] Forbidden
[W 23:11:45.370 NotebookApp] 403 PUT /api/contents/stock_pro/duo_kong_svm_30.ipynb (183.227.137.158) 1.47ms referer=http://120.24.63.215:8889/notebooks/stock_pro/duo_kong_svm_30.ipynb
[I 23:11:54.087 NotebookApp] 302 GET /tree? (183.227.137.158) 1.01ms
[I 23:11:58.554 NotebookApp] 302 POST /login?next=%2Ftree%3F (183.227.137.158) 1.55ms
[W 23:12:03.827 NotebookApp] zmq message arrived on closed channel
[W 23:12:03.831 NotebookApp] zmq message arrived on closed channel
[W 23:12:03.832 NotebookApp] zmq message arrived on closed channel
[W 23:12:03.837 NotebookApp] zmq message arrived on closed channel
[W 23:12:06.626 NotebookApp] zmq message arrived on closed channel
[W 23:12:06.628 NotebookApp] zmq message arrived on closed channel
[W 23:12:12.416 NotebookApp] zmq message arrived on closed channel
[W 23:12:14.782 NotebookApp] zmq message arrived on closed channel
[W 23:12:14.784 NotebookApp] zmq message arrived on closed channel
[W 23:12:15.086 NotebookApp] zmq message arrived on closed channel
[W 23:12:16.122 NotebookApp] zmq message arrived on closed channel
[W 23:12:16.124 NotebookApp] zmq message arrived on closed channel
[W 23:12:16.126 NotebookApp] zmq message arrived on closed channel
[W 23:12:16.129 NotebookApp] zmq message arrived on closed channel
[W 23:12:18.795 NotebookApp] zmq message arrived on closed channel
[W 23:12:18.797 NotebookApp] zmq message arrived on closed channel
[W 23:12:18.817 NotebookApp] zmq message arrived on closed channel
[W 23:12:21.220 NotebookApp] zmq message arrived on closed channel
[W 23:12:21.223 NotebookApp] zmq message arrived on closed channel
[W 23:12:21.225 NotebookApp] zmq message arrived on closed channel
[W 23:12:21.228 NotebookApp] zmq message arrived on closed channel
[W 23:12:22.945 NotebookApp] zmq message arrived on closed channel
[W 23:12:22.947 NotebookApp] zmq message arrived on closed channel
[W 23:12:23.391 NotebookApp] zmq message arrived on closed channel
[W 23:12:23.397 NotebookApp] zmq message arrived on closed channel
[W 23:12:26.400 NotebookApp] zmq message arrived on closed channel
[W 23:12:26.402 NotebookApp] zmq message arrived on closed channel
[W 23:12:26.949 NotebookApp] zmq message arrived on closed channel
[W 23:12:27.098 NotebookApp] zmq message arrived on closed channel
[W 23:12:27.101 NotebookApp] zmq message arrived on closed channel
[W 23:12:29.846 NotebookApp] zmq message arrived on closed channel
[W 23:12:29.849 NotebookApp] zmq message arrived on closed channel
